Sequence	Contig	Position	SexBias	P	Signif
494156	CM014030.1	3342550	0	1	False
494175	CM014012.1	15139080	0	1	False
494736	CM014020.1	15168132	0	1	False
495094	CM014039.1	15228775	0	1	False
495194	CM014028.1	16979698	0	1	False
495328	CM014030.1	21479666	0	1	False
496131	CM014024.1	18363321	0	1	False
496237	CM014029.1	7176753	0.0588235	0.606282	False
497334	CM014017.1	21326849	0	1	False
497388	CM014030.1	22406858	0	1	False
497685	CM014030.1	22246036	-0.205882	0.0792973	False
497801	CM014020.1	16966395	0	1	False
498027	CM014036.1	5581524	0	1	False
498195	CM014039.1	17452396	-0.0294117	1	False
498237	PKUT01002143.1	86716	0	1	False
498643	CM014029.1	6976790	0	1	False
499399	CM014018.1	24390727	0	1	False
499599	CM014018.1	26153495	0	1	False
499934	CM014025.1	4056216	0	1	False
500400	CM014016.1	21997679	0	1	False
500883	CM014039.1	9210123	0	1	False
501330	CM014015.1	29404186	0	1	False
501444	CM014030.1	21063334	0	1	False
501626	CM014023.1	19990123	-0.0294118	1	False
501671	CM014023.1	14591196	0.0294118	1	False
501848	CM014032.1	3948376	0.0588235	0.732046	False
502269	PKUT01000203.1	163844	0.117647	0.122065	False
502360	CM014012.1	23798928	0	1	False
502466	CM014033.1	60618	0	1	False
502595	CM014013.1	2989762	-0.0588235	0.472917	False
502961	CM014020.1	16966266	0.0294117	1	False
503308	CM014029.1	7238259	0.0588235	0.606282	False
503454	CM014034.1	6492733	0	1	False
504844	CM014039.1	13851011	0	1	False
504961	CM014020.1	22974884	0.0588235	0.808039	False
505086	CM014012.1	6086230	0	1	False
505124	CM014017.1	11957174	0	1	False
505282	CM014028.1	12932851	0.0882353	0.620113	False
505520	CM014036.1	6791390	0.0294118	1	False
506040	PKUT01002336.1	44065	-0.294118	0.0287712	False
506557	CM014014.1	9241602	-0.0882353	0.627477	False
506750	CM014026.1	19540237	0	1	False
506934	CM014017.1	10694790	0	1	False
507256	CM014021.1	16816987	0.0294117	1	False
508275	CM014027.1	18169925	0	1	False
508376	CM014033.1	9429027	0	1	False
508727	CM014032.1	6345819	0	1	False
508921	CM014015.1	15047454	0	1	False
509422	CM014021.1	29220469	0.0882353	0.237584	False
509896	PKUT01002327.1	27910	0	1	False
510303	CM014012.1	5348809	-0.0588235	0.774965	False
511075	PKUT01000852.1	164692	0	1	False
511288	CM014020.1	19795435	0	1	False
511554	CM014015.1	13943724	0	1	False
511765	CM014015.1	36209707	0	1	False
511963	CM014037.1	11679591	0	1	False
512099	CM014034.1	2975995	0.147059	0.187742	False
512382	CM014015.1	30806421	0	1	False
512412	PKUT01002165.1	71288	0	1	False
513214	CM014015.1	25103542	0	1	False
513286	CM014016.1	2583747	0.0294118	1	False
513448	CM014030.1	17440478	0.0882353	0.537379	False
513477	CM014019.1	25503829	0	1	False
515109	CM014039.1	987161	0.0588235	0.774965	False
515771	CM014028.1	25247207	0	1	False
515847	CM014019.1	24312014	-0.117647	0.199619	False
515986	CM014021.1	2895216	0	1	False
516278	CM014012.1	15657886	0.0882353	0.47417	False
518291	CM014020.1	27024802	-0.235294	0.0357832	False
518367	CM014017.1	20077724	0	1	False
518479	CM014021.1	17026084	0	1	False
518591	CM014029.1	4260773	0	1	False
518923	CM014013.1	13207108	-0.0588235	0.732046	False
519087	CM014017.1	12718771	0	1	False
519607	CM014029.1	3436214	0.0882353	0.352763	False
520157	CM014027.1	15049295	0	1	False
520729	CM014030.1	19369435	0	1	False
520819	PKUT01000592.1	19563	-0.0588235	0.750406	False
521043	CM014038.1	7734032	0	1	False
521249	CM014021.1	23821710	0	1	False
521775	CM014013.1	19476016	0.0588235	0.606282	False
521783	PKUT01002323.1	26865	0	1	False
522348	CM014023.1	17462054	0	1	False
523377	CM014024.1	22292111	0	1	False
523604	CM014018.1	16878000	0	1	False
523988	CM014021.1	11867731	0.117647	0.391081	False
524698	CM014024.1	13719488	0	1	False
525560	CM014015.1	38064975	0	1	False
526083	CM014012.1	31290011	-0.147059	0.279682	False
526499	CM014018.1	26415334	0.117647	0.424618	False
526601	CM014022.1	410049	0.0294117	1	False
527376	CM014027.1	9398706	0	1	False
527617	CM014020.1	27467332	0	1	False
527984	CM014017.1	28398712	0	1	False
528861	CM014037.1	16515773	0.0588235	0.795467	False
529708	CM014039.1	8401309	0	1	False
530230	CM014024.1	26510255	-0.0882353	0.237584	False
530512	CM014031.1	21594877	0	1	False
530620	CM014032.1	4443573	-0.0882353	0.47417	False
530943	CM014030.1	22933183	0.205882	0.0792973	False
530985	CM014038.1	7503287	0	1	False
531276	CM014017.1	20077812	0.0588235	0.732046	False
531766	CM014016.1	25329624	-0.117647	0.391081	False
532132	CM014018.1	5185973	0	1	False
532784	CM014018.1	13247653	0	1	False
533057	CM014018.1	23192942	0	1	False
533400	CM014022.1	17642540	0	1	False
533490	CM014031.1	20672204	-0.0294118	1	False
535391	CM014025.1	20274877	0.117647	0.409587	False
535498	CM014039.1	11444530	-0.0588236	0.808365	False
535971	CM014033.1	11275097	0	1	False
536065	CM014017.1	10866873	0	1	False
536373	CM014035.1	18968480	0	1	False
536416	CM014012.1	13780903	-0.0588235	0.70663	False
536531	CM014015.1	8979347	0	1	False
536622	CM014031.1	10553952	0	1	False
537375	CM014028.1	18101080	0.0294118	1	False
537771	CM014012.1	2003	0	1	False
538077	CM014039.1	4603402	0.0294117	1	False
538411	CM014035.1	11030853	0	1	False
538504	CM014023.1	12954478	0	1	False
538622	CM014025.1	24702613	0	1	False
538751	CM014020.1	8751979	-0.0588235	0.472917	False
538811	CM014031.1	9419160	0	1	False
538919	CM014023.1	13709601	0.0882353	0.608202	False
540239	CM014039.1	15307520	0	1	False
540403	CM014033.1	18938630	0	1	False
540601	CM014014.1	30897091	0	1	False
540621	CM014017.1	31606212	-0.0294118	1	False
540981	CM014037.1	6764562	0.0294117	1	False
541043	CM014017.1	25215041	0	1	False
541248	CM014027.1	15467762	0	1	False
541268	PKUT01001134.1	142140	0	1	False
542511	CM014022.1	2280086	0	1	False
542595	CM014035.1	17972250	0	1	False
543170	CM014015.1	26343693	-0.0588236	0.808365	False
543206	CM014034.1	17376632	0	1	False
543317	CM014036.1	13470666	0	1	False
543501	CM014020.1	19761454	0	1	False
544149	CM014036.1	19336341	0.0588235	0.472917	False
544356	CM014033.1	2874163	-0.117647	0.304319	False
544645	CM014015.1	30953439	0.0882353	0.47417	False
545075	CM014030.1	5172824	-0.0294118	1	False
545271	PKUT01000789.1	112221	-0.0882353	0.352763	False
546614	CM014018.1	11907842	0	1	False
546974	CM014027.1	416746	-0.0588235	0.732046	False
547293	CM014012.1	3516239	0	1	False
547948	PKUT01002494.1	20304	0	1	False
548628	CM014039.1	987161	0.0588235	0.764244	False
549033	CM014037.1	6571709	0	1	False
549434	PKUT01002804.1	22187	0.0882353	0.47417	False
549493	CM014012.1	28438922	0	1	False
549891	CM014014.1	9007051	0	1	False
550349	CM014030.1	12561426	0	1	False
550456	CM014026.1	9415211	0.0294118	1	False
551091	CM014018.1	21830514	0	1	False
551148	CM014020.1	23696266	0	1	False
551262	CM014027.1	20502259	-0.0588235	0.606282	False
552073	CM014016.1	8236449	0	1	False
552905	CM014028.1	10896786	0	1	False
552921	CM014016.1	18323427	0.0294117	1	False
552959	CM014026.1	4243360	0	1	False
553253	CM014013.1	16457	0	1	False
554115	CM014016.1	6888960	0	1	False
554197	CM014015.1	28511929	0	1	False
554587	PKUT01001088.1	183102	0	1	False
555292	CM014013.1	11220913	0	1	False
555335	CM014012.1	9750213	0.147059	0.217366	False
555632	CM014013.1	9708566	0	1	False
555874	CM014013.1	25995418	0	1	False
556032	PKUT01000396.1	540834	0	1	False
556933	CM014015.1	27231239	0	1	False
557023	CM014039.1	4988080	0	1	False
557225	CM014016.1	33903361	0	1	False
557744	CM014017.1	11989646	0	1	False
557938	CM014033.1	8116128	0	1	False
557992	CM014026.1	17655910	0	1	False
558164	CM014027.1	14291225	-0.117647	0.368261	False
558674	CM014030.1	10741600	-0.0882353	0.614954	False
559120	CM014013.1	2953340	0.0882353	0.620113	False
559946	CM014014.1	11679313	0	1	False
560012	CM014022.1	11050805	-0.0294118	1	False
560196	CM014021.1	9820062	-0.0588235	0.472917	False
560269	CM014036.1	1438527	-0.117647	0.304319	False
560912	CM014031.1	15237437	0	1	False
561168	CM014017.1	6811063	0	1	False
561894	CM014028.1	15022590	0	1	False
562191	CM014024.1	15212172	0	1	False
562521	CM014016.1	32321364	0.0588235	0.70663	False
562780	CM014036.1	10916091	0	1	False
562817	CM014034.1	2745251	0	1	False
562981	CM014032.1	11544249	-0.176471	0.111717	False
563175	CM014034.1	1672669	-0.0294118	1	False
563244	CM014036.1	3319764	0.0588235	0.70663	False
564217	CM014019.1	14263701	0	1	False
564339	CM014040.1	3001852	0	1	False
564382	CM014034.1	16407482	0	1	False
565154	CM014019.1	22053426	0	1	False
565432	CM014017.1	32082966	0	1	False
565761	CM014014.1	11376772	0	1	False
566063	CM014016.1	7241661	0	1	False
566065	CM014029.1	19896212	0.205882	0.131288	False
566087	CM014038.1	6959129	-0.0294118	1	False
566133	CM014030.1	12699871	0.0294118	1	False
566134	CM014013.1	23669333	0.0882353	0.510124	False
566286	PKUT01000833.1	129970	-0.235294	0.0756806	False
566367	CM014037.1	2008611	0	1	False
566392	CM014014.1	4400135	0	1	False
566565	CM014024.1	8982583	0	1	False
566743	CM014037.1	13610081	0	1	False
566905	CM014025.1	6564475	-0.0588235	0.750406	False
567016	CM014035.1	2805547	0	1	False
567151	CM014024.1	2686339	0	1	False
567524	CM014021.1	896649	-0.147059	0.305229	False
567739	CM014016.1	14353401	-0.0294118	1	False
567769	PKUT01000193.1	87395	0.117647	0.199619	False
568593	CM014033.1	11572516	0.0294117	1	False
569961	CM014030.1	17081185	0	1	False
570583	CM014017.1	13914915	0	1	False
570646	CM014027.1	15240762	0	1	False
571552	CM014012.1	9121472	0.147059	0.330086	False
571559	CM014021.1	24361547	0	1	False
573092	CM014024.1	25477040	0	1	False
573362	PKUT01000828.1	62350	-0.0882353	0.424798	False
573476	CM014017.1	29026189	0	1	False
573502	PKUT01002461.1	32038	0	1	False
575294	CM014027.1	1775112	-0.235294	0.0873358	False
575841	CM014033.1	17873733	0.0588235	0.472917	False
575867	CM014033.1	4627853	-0.0294118	1	False
576033	PKUT01002143.1	86806	0	1	False
576287	PKUT01000904.1	39749	0	1	False
576314	CM014025.1	12928603	0	1	False
576534	CM014014.1	17682398	0	1	False
576919	CM014029.1	505859	0	1	False
577086	CM014038.1	12638318	0.0588235	0.606282	False
577644	CM014029.1	19660426	0	1	False
577761	CM014015.1	9657209	-0.264706	0.051429	False
578277	CM014015.1	35674684	0	1	False
578283	CM014017.1	32897530	0	1	False
578744	CM014020.1	5556871	0	1	False
579051	CM014012.1	28636474	-0.205882	0.0928919	False
579684	CM014018.1	3067801	-0.0294117	1	False
579783	CM014021.1	3172077	-0.0294117	1	False
579990	CM014030.1	8407196	-0.0588235	0.70663	False
580283	CM014016.1	25791919	0	1	False
581332	PKUT01001122.1	9573	0	1	False
581633	CM014014.1	5201899	0	1	False
582541	PKUT01002526.1	14797	-0.0294118	1	False
582684	CM014029.1	8669979	0	1	False
583059	CM014020.1	20424829	0	1	False
583090	CM014014.1	14319195	0.0294118	1	False
584408	CM014028.1	26003814	0	1	False
584798	CM014024.1	18571533	0	1	False
584808	CM014016.1	28612086	0	1	False
585088	CM014027.1	28966405	0	1	False
585145	CM014017.1	24694395	0	1	False
585471	CM014027.1	2792478	0	1	False
585684	CM014016.1	25387293	-0.147059	0.3215	False
585984	CM014028.1	12353830	0.117647	0.466854	False
586044	CM014012.1	14087380	0	1	False
586240	CM014015.1	15045599	-0.0882353	0.627477	False
587143	CM014033.1	20243412	0	1	False
587237	CM014024.1	8005638	0	1	False
588194	CM014025.1	25167268	-0.0294118	1	False
588331	CM014038.1	10840822	-0.0294118	1	False
588445	CM014040.1	1014765	-0.0294118	1	False
588594	CM014022.1	13741610	-0.0294117	1	False
588663	CM014031.1	19560034	0	1	False
589683	CM014035.1	12159636	0.0294117	1	False
589741	CM014030.1	4838413	0	1	False
589792	CM014017.1	28768970	0	1	False
590537	CM014034.1	8099759	-0.0294118	1	False
591066	CM014028.1	4424755	0	1	False
591135	CM014028.1	8790090	0	1	False
593765	CM014023.1	7983097	0	1	False
594050	CM014014.1	32737912	0	1	False
594670	PKUT01002241.1	23903	-0.117647	0.466082	False
594698	CM014033.1	11183190	0	1	False
594901	CM014029.1	11375011	0	1	False
594929	PKUT01002235.1	2055	-0.0882353	0.424798	False
595501	CM014040.1	3227783	-0.147059	0.187742	False
595638	CM014013.1	17920843	0	1	False
595663	CM014031.1	18840804	0	1	False
596200	CM014022.1	4788953	0	1	False
596461	CM014012.1	6795199	0.0588235	0.606282	False
596614	CM014017.1	2906987	-0.176471	0.133729	False
596759	CM014022.1	1698458	-0.0294117	1	False
596979	PKUT01002621.1	17145	0	1	False
597015	CM014016.1	15672417	0.0294118	1	False
597126	CM014039.1	11963282	0.147059	0.330086	False
597798	CM014028.1	14337545	0	1	False
598055	CM014031.1	358090	0.235294	0.0806734	False
598387	CM014021.1	8986090	0	1	False
598652	CM014016.1	9187133	0.0588235	0.805371	False
598663	CM014018.1	23102703	0	1	False
599194	CM014012.1	16384959	0.176471	0.194945	False
599740	CM014032.1	4594000	0	1	False
599791	CM014022.1	8697690	-0.0588235	0.799681	False
599977	CM014030.1	19133298	0.0588235	0.668982	False
600227	CM014040.1	4236113	0	1	False
600506	PKUT01000883.1	16872	0	1	False
600671	CM014036.1	8337339	-0.117647	0.122065	False
600706	CM014019.1	9207978	-0.323529	0.0142059	False
601919	CM014012.1	17206323	0	1	False
602298	CM014026.1	15754788	0	1	False
603233	CM014013.1	19052089	0	1	False
603617	CM014013.1	26290243	0	1	False
603687	CM014022.1	11050805	0	1	False
603731	CM014021.1	8077265	0	1	False
604025	CM014019.1	3134832	0.0882353	0.424798	False
604774	CM014019.1	24092544	-0.0294118	1	False
605162	CM014013.1	11653500	0	1	False
605584	CM014037.1	12410277	0	1	False
606898	CM014013.1	9604850	0	1	False
607082	CM014017.1	19841156	0	1	False
607142	CM014016.1	27714656	-0.0294118	1	False
608156	CM014021.1	23124898	0.0882353	0.608202	False
609798	CM014014.1	24046141	0	1	False
610551	CM014018.1	21540601	-0.0294118	1	False
610559	CM014021.1	10055036	0	1	False
610637	CM014028.1	9066182	0	1	False
610740	CM014034.1	4770208	0.0294118	1	False
610765	CM014030.1	20987784	0	1	False
611190	CM014028.1	12932878	-0.0294118	1	False
611221	CM014039.1	1496979	0	1	False
611330	CM014016.1	23096766	0	1	False
612642	CM014022.1	9406965	0	1	False
613230	CM014031.1	21582409	0.0294118	1	False
614052	PKUT01001044.1	25876	0	1	False
614085	CM014012.1	3556046	0.0882353	0.424798	False
614162	CM014035.1	5075605	0	1	False
614268	CM014036.1	8091294	0	1	False
616218	CM014019.1	8167179	0.176471	0.0325386	False
616607	CM014014.1	1057237	-0.0882353	0.510124	False
616822	CM014035.1	7304558	-0.0588235	0.472917	False
616887	PKUT01000938.1	38090	0	1	False
617002	CM014012.1	28976874	0	1	False
617007	CM014015.1	15045599	-0.0294117	1	False
617729	CM014022.1	20467500	-0.0294118	1	False
617817	CM014033.1	13413705	0	1	False
618034	CM014018.1	4249533	-0.0294117	1	False
618116	CM014027.1	3831848	-0.0588235	0.799681	False
618195	CM014038.1	15315924	0	1	False
618479	CM014021.1	5832355	0	1	False
618677	CM014017.1	21904886	0.0588235	0.732046	False
618780	CM014018.1	12253796	0.176471	0.0868918	False
618781	PKUT01000549.1	48409	0.0294118	1	False
619207	CM014015.1	9337319	0.117647	0.122065	False
619344	CM014021.1	14649564	0	1	False
620235	CM014035.1	13651763	0	1	False
620488	CM014039.1	19084659	0.0294118	1	False
620816	PKUT01000462.1	23578	-0.147059	0.217366	False
621489	CM014012.1	21414663	0.176471	0.204513	False
621629	CM014025.1	14282510	0	1	False
621698	CM014036.1	6762321	0	1	False
622543	CM014024.1	21054898	-0.0294118	1	False
623106	CM014012.1	32630680	0.0588235	0.732046	False
623424	CM014017.1	25825441	0	1	False
623685	CM014015.1	8890542	0	1	False
624002	CM014014.1	20570035	0	1	False
624325	CM014013.1	4101939	-0.0588235	0.750406	False
624768	CM014032.1	1415158	-0.0588235	0.764244	False
625099	CM014013.1	16525932	-0.147059	0.0631001	False
625263	CM014017.1	5150170	0	1	False
625327	CM014031.1	9758144	0	1	False
625816	CM014029.1	19664288	0	1	False
625879	CM014021.1	7986774	0.0882353	0.620113	False
625977	PKUT01000617.1	371653	0	1	False
626045	CM014013.1	25103362	0	1	False
626228	CM014027.1	24499867	0.0294117	1	False
626253	CM014039.1	10823105	0	1	False
626286	CM014019.1	20587778	0	1	False
626501	CM014030.1	19809124	0	1	False
626658	CM014030.1	2537548	-0.0294117	1	False
626811	CM014018.1	26999890	0.0294117	1	False
627183	CM014012.1	28037023	0	1	False
627686	CM014020.1	12999672	0	1	False
627692	CM014031.1	21746939	0.147059	0.293755	False
628367	CM014021.1	20777718	-0.0882353	0.58884	False
629082	CM014033.1	5349424	-0.0294117	1	False
629494	PKUT01000206.1	468681	-0.147059	0.110433	False
629926	CM014022.1	15593699	0.0294118	1	False
630003	CM014016.1	30768	0	1	False
630540	CM014034.1	19132685	-0.0294118	1	False
630575	CM014025.1	26781656	0	1	False
630688	CM014016.1	2317762	0	1	False
631316	CM014015.1	24728711	0	1	False
631626	CM014014.1	25265487	0.0294118	1	False
631744	CM014024.1	11189970	0	1	False
632110	CM014020.1	18185725	0	1	False
632959	CM014031.1	9192364	-0.0294118	1	False
633345	CM014039.1	10349162	0	1	False
633460	CM014027.1	19944881	0	1	False
633819	CM014013.1	26748217	0.0588235	0.472917	False
634298	CM014027.1	30504705	0	1	False
634562	CM014039.1	4036901	-0.0294118	1	False
634840	CM014019.1	12376353	0.176471	0.0325386	False
635720	CM014017.1	32972823	0	1	False
635775	CM014020.1	5163027	0	1	False
635796	PKUT01002336.1	44065	0.117647	0.466082	False
636561	CM014014.1	11756948	0	1	False
637104	CM014030.1	12561516	0	1	False
637945	CM014017.1	31759810	0	1	False
638111	PKUT01002236.1	104257	0	1	False
638353	CM014013.1	25144797	0	1	False
638791	CM014014.1	20170513	0.0294117	1	False
639098	CM014015.1	35183016	0.176471	0.194945	False
639710	CM014015.1	38451050	-0.0294117	1	False
640164	CM014021.1	20777809	0	1	False
640248	CM014024.1	1863452	-0.147059	0.3215	False
640565	CM014022.1	11050805	0.0588235	0.750406	False
640926	CM014031.1	8384635	-0.0588235	0.805371	False
641477	CM014025.1	15811470	-0.0588235	0.795467	False
642258	CM014015.1	34751679	0	1	False
642593	PKUT01000650.1	83053	0.117647	0.409587	False
643054	PKUT01000985.1	23363	0.0294118	1	False
643176	CM014033.1	732255	0	1	False
643344	CM014021.1	17146173	0	1	False
643373	PKUT01000690.1	868855	0	1	False
643465	CM014013.1	30889418	0	1	False
643568	CM014038.1	14156844	-0.147059	0.3215	False
643905	CM014027.1	14330451	0.117647	0.199619	False
643912	CM014030.1	4930256	0	1	False
643916	CM014024.1	10592212	0	1	False
644794	CM014014.1	24549152	0	1	False
644897	CM014022.1	1444857	0	1	False
645166	CM014018.1	5489892	0	1	False
645208	CM014033.1	8691984	0	1	False
645328	CM014028.1	20045827	0	1	False
645410	CM014028.1	9340419	0	1	False
646116	CM014031.1	770193	0	1	False
646238	CM014036.1	19307151	0.0294118	1	False
646320	CM014033.1	19538557	0	1	False
646326	CM014027.1	13649272	0.0882353	0.352763	False
646859	CM014018.1	15140582	0	1	False
646875	CM014020.1	16948581	-0.147059	0.314402	False
646977	CM014033.1	8053375	0	1	False
647095	CM014020.1	24681248	0	1	False
647725	CM014030.1	16723294	0.0294118	1	False
648006	PKUT01001102.1	33315	0	1	False
648597	CM014027.1	14124101	0.0882353	0.352763	False
648798	CM014040.1	6779181	0.117647	0.258831	False
648843	CM014019.1	27717033	0.0882353	0.352763	False
649843	CM014018.1	24430404	-0.147059	0.330086	False
650291	CM014019.1	8130915	0	1	False
650764	CM014033.1	10267654	0	1	False
651393	PKUT01000511.1	80631	-0.0588235	0.764244	False
652071	PKUT01002546.1	15614	0	1	False
652336	PKUT01002467.1	18962	0	1	False
652925	CM014019.1	8523037	0	1	False
654628	CM014027.1	12046900	0.0882353	0.47417	False
655049	CM014020.1	7654005	0.0294118	1	False
655457	CM014034.1	17677397	0.147059	0.110433	False
655480	CM014016.1	8227758	0.0294118	1	False
656375	CM014040.1	4275610	-0.0588235	0.807051	False
656529	CM014033.1	20698515	0.176471	0.224449	False
656544	CM014020.1	21331562	0.0588235	0.732046	False
656771	CM014027.1	3900306	-0.147059	0.217366	False
657314	CM014019.1	9497717	-0.294118	0.0223811	False
657697	CM014037.1	3227214	0.0294118	1	False
657978	CM014019.1	26125051	0.117647	0.454083	False
658122	CM014033.1	19673340	0.0588235	0.790127	False
658688	CM014018.1	13189484	0	1	False
658782	PKUT01000077.1	510734	0.0294118	1	False
658834	CM014039.1	15504343	0.0294118	1	False
658959	CM014015.1	9329751	0	1	False
659536	CM014020.1	3688396	-0.0294117	1	False
659931	CM014029.1	21886652	0	1	False
660457	CM014027.1	28887197	0	1	False
660525	CM014026.1	5997260	-0.205882	0.115284	False
661224	CM014016.1	20061081	0	1	False
661440	CM014023.1	7894010	0	1	False
661914	CM014018.1	8537809	0.0294118	1	False
662017	CM014015.1	28859911	0.0294118	1	False
662527	CM014039.1	18843757	0	1	False
662835	CM014019.1	31070124	0.117647	0.258831	False
663033	CM014023.1	20258476	-0.0588235	0.472917	False
663298	CM014022.1	15565541	0	1	False
663417	CM014028.1	12591898	0.0588235	0.790127	False
663453	CM014014.1	35789466	0	1	False
663623	CM014035.1	2677178	0	1	False
664059	CM014013.1	14778770	0	1	False
664182	CM014031.1	9245528	0.0294118	1	False
665060	CM014031.1	3817245	0	1	False
665208	CM014024.1	5514643	0.0882353	0.599611	False
665774	CM014023.1	7014993	0	1	False
666222	CM014025.1	11020904	0	1	False
666477	CM014029.1	797965	0.205882	0.0317829	False
666547	CM014033.1	6362323	-0.0882353	0.47417	False
666649	PKUT01000492.1	109730	0.117647	0.446491	False
666964	CM014016.1	1614736	0	1	False
667377	CM014030.1	17143743	0	1	False
668277	CM014039.1	8577394	0	1	False
668569	CM014027.1	10613400	-0.147059	0.3215	False
668578	CM014027.1	30412886	-0.176471	0.183279	False
668906	PKUT01002230.1	54437	0	1	False
669069	PKUT01002533.1	7862	0	1	False
669345	CM014031.1	17819100	0	1	False
669533	CM014030.1	18030840	0.0294118	1	False
669797	CM014039.1	3106086	0.0882353	0.614954	False
670707	CM014017.1	2906987	0.147059	0.326688	False
671127	CM014035.1	14266414	0	1	False
671345	CM014032.1	1561207	0	1	False
671966	CM014035.1	2445585	0	1	False
672031	CM014037.1	3227214	-0.0588235	0.606282	False
672325	CM014038.1	3531388	-0.235294	0.0845601	False
672527	CM014029.1	12087297	0.0588235	0.668982	False
673001	CM014040.1	13770609	-0.0588235	0.750406	False
673485	CM014014.1	9767499	0	1	False
673488	CM014027.1	13677942	0	1	False
673840	CM014030.1	21104327	0	1	False
674068	CM014016.1	17849800	0	1	False
674077	CM014029.1	2747403	0	1	False
674324	CM014022.1	10930591	0	1	False
675022	CM014023.1	4924564	0.0882353	0.237584	False
675221	CM014012.1	16621791	0	1	False
675666	CM014027.1	12159753	-0.147059	0.331766	False
675753	CM014018.1	3600495	0	1	False
675757	CM014024.1	4180061	0	1	False
676094	CM014012.1	30595268	0.0882353	0.352763	False
676366	CM014034.1	7812929	0	1	False
676386	CM014021.1	2604500	0	1	False
676557	CM014020.1	21098560	-0.0294118	1	False
676751	CM014039.1	19080901	-0.0882353	0.558598	False
677017	CM014020.1	15487691	0.205882	0.14404	False
677190	CM014019.1	13478007	0	1	False
677231	CM014040.1	118266	0	1	False
677555	CM014015.1	37909047	0.176471	0.152881	False
677587	CM014023.1	19011367	-0.0882353	0.352763	False
677867	CM014026.1	19928728	0	1	False
678063	CM014017.1	21868430	0.0294118	1	False
678068	CM014013.1	1927899	0	1	False
678146	PKUT01002647.1	5861	0	1	False
678149	CM014027.1	29668069	-0.0294118	1	False
678501	CM014020.1	21317482	0	1	False
678659	CM014014.1	15763157	-0.117647	0.409587	False
678915	CM014032.1	5384680	-0.0588235	0.783413	False
679000	CM014018.1	12758870	0.117647	0.436774	False
679560	CM014012.1	27415022	0	1	False
679652	CM014029.1	8170024	-0.176471	0.212138	False
679683	CM014015.1	24383555	0.0294118	1	False
679708	CM014023.1	7460212	0	1	False
679977	CM014012.1	20867114	0	1	False
680547	CM014034.1	17496170	-0.176471	0.212138	False
680646	CM014024.1	16550126	-0.0588235	0.807051	False
680997	PKUT01002678.1	12753	0.0882353	0.537379	False
681153	CM014018.1	5594226	0.0882353	0.58884	False
681159	CM014034.1	19188331	0.0882353	0.620113	False
681396	CM014024.1	2272779	0.0294117	1	False
682131	CM014037.1	4525298	0	1	False
682482	CM014034.1	7715707	0.0294117	1	False
682595	CM014012.1	8478953	0	1	False
683027	PKUT01000364.1	44598	-0.0882353	0.575403	False
683242	PKUT01002402.1	1609	0	1	False
